docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0167610513001001-1769	1	Quantity	100	106	1	° tilt	"{""unit"": ""tilt""}"
S0167610513001001-1769	2	Quantity	139	142	2	two	"{""unit"": ""two""}"
S0167610513001001-1769	2	MeasuredEntity	143	154	3	instruments	"{""HasQuantity"": ""2""}"
S0167610513001001-1769	3	Quantity	216	222	4	60 min	"{""unit"": ""min""}"
S0167610513001001-1769	4	Quantity	289	292	5	two	"{""unit"": ""two""}"
S0167610513001001-1769	4	MeasuredEntity	293	301	9	datasets	"{""HasQuantity"": ""5""}"
S0167610513001001-1769	5	Quantity	371	383	6	≈0–0.5 m s−1	"{""unit"": ""m""}"
S0167610513001001-1769	6	Quantity	397	415	7	less than 20 m s−1	"{""unit"": ""m""}"
S0167610513001001-1769	7	Quantity	624	634	10	0.36 m s−1	"{""unit"": ""m""}"
S0167610513001001-1769	7	MeasuredEntity	638	655	13	stable conditions	"{""HasQuantity"": ""10""}"
S0167610513001001-1769	8	Quantity	660	670	11	1.05 m s−1	"{""unit"": ""m""}"
S0167610513001001-1769	9	Quantity	699	709	12	0.86 m s−1	"{""unit"": ""m""}"
