docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0378383913001567-6892	1	Quantity	15	19	1	40 m	
S0378383913001567-6892	2	Quantity	29	33	2	90 m	
S0378383913001567-6892	3	Quantity	44	47	3	two	
S0378383913001567-6892	4	Quantity	110	115	4	5° to	
S0378383913001567-6892	5	Quantity	151	156	5	10 m.	
S0378383913001567-6892	6	Quantity	185	188	6	two	
S0378383913001567-6892	7	Quantity	208	216	7	121 × 53	
S0378383913001567-6892	8	Quantity	357	365	8	121 × 53	
S0378383913001567-6892	9	Quantity	438	441	9	1 m	
S0378383913001567-6892	10	Quantity	469	472	10	2.5	
